answerKey,question,choices
A,Jim chose clear paint.  He could have chosen another type but it would have covered up the natural beauty of the wood.  What sort of paint could he have chosen instead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['opaque', 'opal', 'obscured', 'obscure', 'thick'], dtype=object)}"
B,"John hated getting in line, but he wanted anyway.  Not breaking line was just what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['agitation', 'common sense', 'civil', 'fatigue', 'longer lines'],
      dtype=object)}"
C,"He was washing hands, what happened to his hands as a result?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jazz hands', 'health', 'become wet', 'skin irritation',
       'dry skin'], dtype=object)}"
D,"The muscle stretched, and after it did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['popped', 'loose', 'compressing', 'contract', 'cramped'],
      dtype=object)}"
C,Why would someone fail after giving an answer?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['problem', 'question', 'wrong', 'ask', 'swear'], dtype=object)}"
D,The drunk man was hitting bottle figuratively and literally when he slammed it down on the what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buying beer', 'ticket', 'aim', 'table', 'breaking'], dtype=object)}"
C,"If a human wants to be in a warm place, where is a good place to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['battle', 'doctor', 'mexico', 'workplace', 'in the fridge'],
      dtype=object)}"
D,Where would you find people who work with a round brush?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['art supplies', 'ladies bathroom', 'shower', 'hair salon',
       'make person sick'], dtype=object)}"
C,"Her answer was just never neglecting housework, her guest had asked her how she keeps such a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feeling satisfied', 'boredom', 'nice home', 'house clean',
       'pristine house'], dtype=object)}"
E,"The exercise involved long and deep breathing, this slowed the heart and led to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['warm air', 'stay alive', 'calmness', 'living', 'relaxation'],
      dtype=object)}"
C,If no one wants chicken what round nourishment is a safe bet?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freezer', 'plate', 'pizza', 'beef', 'fast food restaurant'],
      dtype=object)}"
B,What can be used to carry a small dog?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swimming pool', 'basket', 'dog show', 'backyard', 'own home'],
      dtype=object)}"
E,"The detective had a lot of corporeal evidence to sort through, unfortunately the bulk of it would prove to be what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intangible', 'spiritual', 'transparent', 'ethereal',
       'insubstantial'], dtype=object)}"
A,Where are files likely to be hanging?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['filing cabinet', 'tree', 'suitcase', 'computer', 'desk drawer'],
      dtype=object)}"
D,"He was stabbing to death his wife when he was caught, at trial he still denied the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bleeding', 'imprisonment', 'mess', 'killing', 'give up'],
      dtype=object)}"
B,"The crab was known to use camouflage to wait for a fish to get within reach, when it was hungry it would set up shop where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""ocean's eleven"", 'ocean floor', 'downtown area', 'high school',
       'container'], dtype=object)}"
A,"If people are at war with one another, what might they do as a consequence?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['destroy each other', 'interact', 'talk to each other', 'run amok',
       'desire to win'], dtype=object)}"
C,"The eloquent performance was stunning, it left everybody what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stuttering', 'stumbling', 'speechless', 'muttering', 'astounded'],
      dtype=object)}"
A,What problems do children have learning about the world?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['confusion', 'anger', 'sadness', 'loss of innocence',
       'frustration'], dtype=object)}"
E,John climbed a terrace from his balcony in order to sneak out and get an authentic pizza.   Where might John be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'southern europe', 'japan', 'rice paddy', 'italy'],
      dtype=object)}"
D,"The local place didn't have the variety the customer was after, so he traveled to see the show room in the big what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dancehall', 'car dealership', 'theater', 'city', 'vegas'],
      dtype=object)}"
C,What might happen to someone if they were found guilty of committing perjury?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['embarrassment', 'mistrial', 'going to jail', 'laywer', 'tension'],
      dtype=object)}"
E,"The couple had a forgiving attitude with each other thereafter, what did they do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['great relief', 'feel better', 'respect', 'go up high', 'make up'],
      dtype=object)}"
B,He bought a warranty for the fragile objects just it case they what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sound well', 'become broken', 'patch up', 'disappear from sight',
       'gain speed'], dtype=object)}"
A,"As you live life you get wiser, it is a part of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['growing older', 'death', 'experience things', 'toothsome',
       'breathe'], dtype=object)}"
C,Ballet dancing is a form of artistic what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['swan lake', 'intercourse', 'expression', 'become tired',
       'fatigue'], dtype=object)}"
D,"John heard loud noise coming from below him, which was perfectly normal.   It always happened this time of day.  He really hated living here.  Where did he live?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['upstream', 'roof', 'aloft', 'upstairs', 'upwards'], dtype=object)}"
E,Where can you see people enjoying antique transportation?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'montana', 'carnival', 'supermarket', 'car show'],
      dtype=object)}"
D,Where would you find children playing with a ball or swinging?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bearing', 'street', 'gymnasium', 'playground', 'park'],
      dtype=object)}"
E,Where are you if professionals are applying hair gel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dressing room', 'perfumery', 'bathroom', 'beauty salon',
       'barbers'], dtype=object)}"
C,"A person takes competing seriously, that person works up a what playing even the simplest of games?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enemies', 'aggression', 'sweat', 'defeat', 'tiredness'],
      dtype=object)}"
C,What would a parent do if their child is missing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['call child', 'call the police', 'experience fear', 'homeschool',
       'close box'], dtype=object)}"
B,What happens when you play games?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bored', 'have fun', 'win', 'challenge', 'bored'], dtype=object)}"
A,"When people aren't communicating or talking to each other, what happens?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['misunderstandings', 'headaches', 'introductions', 'conversation',
       'distraction'], dtype=object)}"
D,Where is a good place for a small dog to sleep?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['animal shelter', 'backyard', 'own home', 'basket', 'garage'],
      dtype=object)}"
D,Beer is usually expensive when you attend what public event?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['refrigerator', 'drink', 'fridge', 'sporting event',
       'bowling alley'], dtype=object)}"
E,When you see new people move in next door you might find it what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new friends', 'new experience', 'look around',
       'change of surroundings', 'interesting'], dtype=object)}"
B,Two adults do what before one gives birth to a child?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loving couple', 'act of sex', 'birth', 'parents', 'consent'],
      dtype=object)}"
D,"If people are busy, what do they tend to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make lists', 'trade places', 'talk to each other', 'hurry along',
       'say ""hello"" to one another'], dtype=object)}"
D,"When a person drinks, becoming inebriated, how are they likely to move?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jumping', 'drunkenness', 'paralysis', 'staggering', 'fights'],
      dtype=object)}"
B,"Johnny's behavior was a bigger problem.  Even if the original incident wasn't intentional, his actions afterward are completely what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accidental', 'detestable', 'effusive', 'enabled', 'shocking'],
      dtype=object)}"
B,"Mary was a high school student student.She hang out in a quiet place where she could study.  Then the bell rang, telling her she needed to go.  Where  did she need to go?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['university', 'classroom', 'dinner', 'library',
       'every aspect of life'], dtype=object)}"
D,"She had a busy schedule, she had to run errands and pick up the kids the second she did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make time for', 'take money', 'go outdoors', 'leave work',
       'field'], dtype=object)}"
C,"After jumping up and down on the floor, the child's mother yelled after she was told she was distracting her downstairs neighbors because of making what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exercise', 'tantrums', 'lot of noise', 'hiccups', 'getting warm'],
      dtype=object)}"
D,He waited far to long before beginning work. What is his immediate state of mind?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stress', 'excitement', 'eagerness', 'panic', 'working'],
      dtype=object)}"
E,"If I want a high quality horse, where should I look?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new hampshire', 'canada', 'engraving', 'cemetary', 'in kentucky'],
      dtype=object)}"
B,"The person wanted to make money, so what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mint', 'selling things', 'cross street', 'feel resentful',
       'machine part'], dtype=object)}"
A,"The lizard looked longingly out of its cage, what was the lizards status?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['captivity', 'costa rica', 'river', 'encyclopedia', 'garden'],
      dtype=object)}"
C,What would be built on a foundation of rock?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pillars', 'mountains', 'bridge', 'mountain range',
       'surface of earth'], dtype=object)}"
D,"He tried to jump his car, what terminal did he connect to after connecting the positive terminal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bad', 'uncertain', 'possimism', 'negative', 'adverse'],
      dtype=object)}"
E,"The drama had quite an affect on the humans, the highs and lows had them all what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['give up', 'bald', 'very adaptable', 'male or female', 'emotional'],
      dtype=object)}"
D,"A squirrel ran up to it's home, where is the small dog likely to be barking up?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manhattan apartment', 'wood', ""neighbor's yard"", 'tree', 'basket'],
      dtype=object)}"
E,"The housewife needed dry storage, where should she put her things?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['storage closet', 'building', 'inside', 'warehouse', 'pantry'],
      dtype=object)}"
C,Where might I find a bowl nestled among other bowls in the kitchen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['refrigerator', 'kitchen top', 'cupboard', 'dishwasher',
       'apartment'], dtype=object)}"
D,"When people have a variety of opinions, what can they do with one another?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['divorce', 'believe in god', 'gain weight', 'agree or disagree',
       'become angry'], dtype=object)}"
B,What does someone obsessed with grooming likely enjoy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['satisfaction', 'cleanliness', 'smoothness', 'beauty', 'mistakes'],
      dtype=object)}"
B,"The government cracked down on anybody protesting, what did the government dislike?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy cats at petstore', 'question authority', 'crowds', 'forget',
       'wash dishes'], dtype=object)}"
D,Bill told the audience that good things would happen to them if they gave him all of their money. Where is Bill most likely speaking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stadium', 'hockey game', 'baseball game', 'church',
       'movie theater'], dtype=object)}"
B,"Joe wants to stop being married to Jane.  Jane doesn't want it, but she sadly accepts what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pleasure', 'getting divorce', 'heartache', 'heartbreak',
       'beatings'], dtype=object)}"
E,"Billy loves science, history, and art but isn't very creative.  When he was visiting the museum, he felt a great deal of what emotion?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['inspiration', 'fulfillment', 'wonder', 'boredom', 'enjoyment'],
      dtype=object)}"
E,"When trying to clean clothes, what is something that you need?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get dirty', 'launder', 'sort', 'bleach', 'use water'],
      dtype=object)}"
C,The screwdriver was surprisingly sharp.  This is because it's tip  was what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blunt', 'inaccurate', 'flat', 'above board', 'dim'], dtype=object)}"
A,What eastern U.S. local government has plenty of crab fishing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['north carolina', 'chesapeake bay', 'crab pots', 'sandy beach',
       'eastern coast'], dtype=object)}"
C,Where might be an odd place to put a washing machine?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['laundromat', 'wash clothes', 'cellar', 'house', 'garage'],
      dtype=object)}"
B,Where could I eat a chocolate cake?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mouth', 'restaurant', 'supermarket', 'school', 'box'],
      dtype=object)}"
D,What might the result of unwanted flirting be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['attraction', 'problems', 'the gallows', 'being slapped',
       'curiosity'], dtype=object)}"
D,"When they got a divorce, they stopped talking to each other, so what did they have?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['richer', 'depression', 'meloncoly', 'bad feelings',
       'emotional distress'], dtype=object)}"
A,Where would you put a drink if you do not plan to use it soon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'camelback', 'cup', 'backpack', 'can'], dtype=object)}"
E,"James didn't understand what was going on, but he knew that he had to choose.   He decided that he wasn't going to accept temptation, and did what to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['predetermination', 'undecided', 'force', 'concluded', 'reject'],
      dtype=object)}"
A,"A monkey is out in the wild, where are they likely to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical areas', 'school', 'research laboratory', 'pet store',
       'story book'], dtype=object)}"
E,If a mechanic attaches a chain to your bumper what is he likely driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['obesity', 'bicycle', 'motorbike', 'jewelry store', 'tow truck'],
      dtype=object)}"
C,Why might someone avoid getting a new car?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['move quickly', 'go fast', 'cost money', 'crash', 'slow down'],
      dtype=object)}"
D,What is a computer known to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['think', 'hardware', 'process information', 'run programs',
       'make decisions'], dtype=object)}"
A,You should probably have something healthier than just eat ice cream if you what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['were hungry', 'depressed', 'cool down', 'exercise',
       'let melt in mouth'], dtype=object)}"
B,What will an unprepared person experience when taking final exams?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['graduation', 'anxiety', 'happy', 'graduating', 'headaches'],
      dtype=object)}"
E,"The champagne was good, it was both sweet and what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bitter', 'decaying', 'spicy', 'sour', 'dry'], dtype=object)}"
E,"When picking up drinks, what kind requires you to hold them by the neck?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['glass', 'shoulder', 'body', 'guillotine', 'bottle'], dtype=object)}"
D,Where would be a good place for a weasel to hide?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""children's story"", 'animated film', 'henhouse', 'mulberry bush',
       'bank'], dtype=object)}"
C,What does every person have that not every wolf has?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['human intelligence', 'hide', 'name', 'mouth', 'heart'],
      dtype=object)}"
B,"He needed a computer program to do a certain task and he knew how to make it, so he began to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get frustrated', 'write code', 'debug', 'damage', 'compile'],
      dtype=object)}"
D,"When people meet other people in a convivial setting, what tends to happen?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['expect miracles', 'think of life', 'talk to each other',
       'form friendships', 'arguments'], dtype=object)}"
D,What usually happens to work when taking a break?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'renewal', 'distractions', 'delay', 'snoring'],
      dtype=object)}"
D,What goes well with drinks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['show', 'bar', 'soda', 'dinner', 'refrigerator'], dtype=object)}"
C,"Their food was the same every where you went, the fast food restaurant was standard from Los Angeles to where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big cities', 'america', 'new york', 'los angeles',
       'center of town'], dtype=object)}"
E,Bob pulled a rock out of the ground.  He wanted to examine the thing because he was into geology.   He was also into waterskiing.   He had many what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['talents', 'complex', 'interesting', 'learn more about',
       'interests'], dtype=object)}"
C,A surface that doesn't have a slope would be what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flat ground', 'downhill', 'straight', 'slanted', 'slopewash'],
      dtype=object)}"
E,The referee wasn't specialized in one thing. He refereed many games.  He was offered a job but wasn't sure what it would be.  What did he know it would be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['side with opponent', 'football', 'hockey game', 'part two boxers',
       'sporting event'], dtype=object)}"
D,What do eating hamburgers in excess lead to short term?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain weight', 'health problems', 'death', 'nausea', 'tomato'],
      dtype=object)}"
D,If friends comment on the condition of your living space what should you do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['socialize', 'go somewhere', 'go to the store', 'clean room',
       'going out at night'], dtype=object)}"
D,Where might a small ball be bounced from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['soccer game', 'street', 'toy store', ""child's hand"",
       'on the sidewalk'], dtype=object)}"
A,What area is likely to use a ring road to connect cities?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['european city', 'town', 'freeway system', 'cars', 'freeway'],
      dtype=object)}"
E,Where would you use a computer while gaining knowledge?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'house', 'table', 'house', 'school'], dtype=object)}"
B,What passes between the point of one destination to another?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'elapsed time', 'obstacle', 'uneasiness', 'movement'],
      dtype=object)}"
D,Where do young boys hide dirty magazines?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['library', 'drawer', 'dentist', 'bed', 'airport'], dtype=object)}"
C,Where would someone bring you a cup?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'closet', 'restaurant', 'table', 'party'],
      dtype=object)}"
A,Where do you hang notes in the kitchen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fridge', 'sheet music', 'medical chart', 'from a hook', 'desk'],
      dtype=object)}"
A,"A flea made the dog itch, this is because to feed it can do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['suck blood', 'bite', 'jump', 'lay eggs', 'attack'], dtype=object)}"
C,"The buildings were designed to hold a lot of people, where should it be built?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['small', 'in a hole', 'large city', 'university', 'town'],
      dtype=object)}"
A,What do you need the most to be living life?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['breathe', 'learning', 'sorrow', 'wear a mullet', 'marriage'],
      dtype=object)}"
C,"There were all sorts of shapes in the textbook, the geometry teacher explained how to find the area of the surface for each what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['turtle', 'tetrahedron', 'object', 'lake', 'geometry problem'],
      dtype=object)}"
C,What happens if you eat hamburger that's very big?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hungry', 'choking', 'get full', 'lose weight', 'getting fat'],
      dtype=object)}"
E,"I know the answer, but I do not do what to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ignorant', 'correct', 'ignorance', 'had learnt', 'understand'],
      dtype=object)}"
E,What could a driver have that could cause the driver to not want to be driving car?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car crash', 'splinter', 'automobile accidents', 'smoke',
       'backache'], dtype=object)}"
D,If you see a policeman in the street waving flashlights what are they there to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jump', 'arrest criminals', 'book robber', 'direct traffic',
       'wave on'], dtype=object)}"
A,"He wasn't able to enjoy the party because he was too worried about his things and cleaning up, where was the party?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['home', 'fraternity house', 'boat', ""friend's house"",
       'blowing off steam'], dtype=object)}"
C,where do you buy the freshest apples?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shop', 'fridge', 'farmers market', 'a tree', 'grocery store'],
      dtype=object)}"
B,What is often an outward expression of happiness?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['love', 'laughter', 'spread', 'tears', 'limp'], dtype=object)}"
